date,Ari Bousbib (Chief Executive Officer of IMS Health)
2004-01-01,0
2004-02-01,60
2004-03-01,0
2004-04-01,58
2004-05-01,50
2004-06-01,100
2004-07-01,0
2004-08-01,0
2004-09-01,45
2004-10-01,0
2004-11-01,0
2004-12-01,42
2005-01-01,37
2005-02-01,0
2005-03-01,33
2005-04-01,0
2005-05-01,0
2005-06-01,32
2005-07-01,0
2005-08-01,32
2005-09-01,29
2005-10-01,27
2005-11-01,0
2005-12-01,27
2006-01-01,46
2006-02-01,0
2006-03-01,41
2006-04-01,0
2006-05-01,40
2006-06-01,21
2006-07-01,0
2006-08-01,0
2006-09-01,0
2006-10-01,0
2006-11-01,0
2006-12-01,0
2007-01-01,0
2007-02-01,48
2007-03-01,42
2007-04-01,14
2007-05-01,12
2007-06-01,0
2007-07-01,13
2007-08-01,48
2007-09-01,0
2007-10-01,32
2007-11-01,21
2007-12-01,33
2008-01-01,10
2008-02-01,10
2008-03-01,37
2008-04-01,19
2008-05-01,9
2008-06-01,0
2008-07-01,18
2008-08-01,0
2008-09-01,17
2008-10-01,8
2008-11-01,8
2008-12-01,31
2009-01-01,7
2009-02-01,8
2009-03-01,13
2009-04-01,0
2009-05-01,13
2009-06-01,13
2009-07-01,0
2009-08-01,20
2009-09-01,6
2009-10-01,12
2009-11-01,6
2009-12-01,6
2010-01-01,0
2010-02-01,6
2010-03-01,20
2010-04-01,0
2010-05-01,21
2010-06-01,5
2010-07-01,5
2010-08-01,67
2010-09-01,32
2010-10-01,31
2010-11-01,35
2010-12-01,13
2011-01-01,24
2011-02-01,16
2011-03-01,8
2011-04-01,12
2011-05-01,11
2011-06-01,16
2011-07-01,15
2011-08-01,4
2011-09-01,11
2011-10-01,7
2011-11-01,7
2011-12-01,3
2012-01-01,9
2012-02-01,19
2012-03-01,0
2012-04-01,13
2012-05-01,12
2012-06-01,25
2012-07-01,3
2012-08-01,3
2012-09-01,6
2012-10-01,11
2012-11-01,3
2012-12-01,11
2013-01-01,20
2013-02-01,8
2013-03-01,2
2013-04-01,12
2013-05-01,9
2013-06-01,10
2013-07-01,10
2013-08-01,7
2013-09-01,9
2013-10-01,13
2013-11-01,9
2013-12-01,5
2014-01-01,2
2014-02-01,9
2014-03-01,6
2014-04-01,17
2014-05-01,19
2014-06-01,0
2014-07-01,14
2014-08-01,2
2014-09-01,9
2014-10-01,11
2014-11-01,13
2014-12-01,17
2015-01-01,28
2015-02-01,15
2015-03-01,16
2015-04-01,23
2015-05-01,8
2015-06-01,6
2015-07-01,8
2015-08-01,6
2015-09-01,2
2015-10-01,9
2015-11-01,6
2015-12-01,0
2016-01-01,15
2016-02-01,16
2016-03-01,7
2016-04-01,8
2016-05-01,28
2016-06-01,20
2016-07-01,10
2016-08-01,19
2016-09-01,32
2016-10-01,23
2016-11-01,21
2016-12-01,11
2017-01-01,20
2017-02-01,17
2017-03-01,9
2017-04-01,9
2017-05-01,9
2017-06-01,11
2017-07-01,11
2017-08-01,5
2017-09-01,7
2017-10-01,5
2017-11-01,18
2017-12-01,20
2018-01-01,8
2018-02-01,13
2018-03-01,13
2018-04-01,37
2018-05-01,13
2018-06-01,26
2018-07-01,15
2018-08-01,8
2018-09-01,20
2018-10-01,25
2018-11-01,24
2018-12-01,19
2019-01-01,11
2019-02-01,12
2019-03-01,21
2019-04-01,12
2019-05-01,10
2019-06-01,7
2019-07-01,18
2019-08-01,10
2019-09-01,8
2019-10-01,15
2019-11-01,17
2019-12-01,14
2020-01-01,19
2020-02-01,15
2020-03-01,8
2020-04-01,31
2020-05-01,16
2020-06-01,5
2020-07-01,20
2020-08-01,11
2020-09-01,10
2020-10-01,11
2020-11-01,9
2020-12-01,19
2021-01-01,13
2021-02-01,13
2021-03-01,14
2021-04-01,15
2021-05-01,13
2021-06-01,12
2021-07-01,11
2021-08-01,9
2021-09-01,10
2021-10-01,8
2021-11-01,6
2021-12-01,3
2022-01-01,10
2022-02-01,17
