date,Christine Duffy (president of carnival cruise lines)
2004-01-01,0
2004-02-01,0
2004-03-01,0
2004-04-01,0
2004-05-01,0
2004-06-01,0
2004-07-01,0
2004-08-01,0
2004-09-01,55
2004-10-01,0
2004-11-01,0
2004-12-01,0
2005-01-01,45
2005-02-01,0
2005-03-01,0
2005-04-01,0
2005-05-01,0
2005-06-01,42
2005-07-01,42
2005-08-01,0
2005-09-01,0
2005-10-01,34
2005-11-01,0
2005-12-01,33
2006-01-01,0
2006-02-01,61
2006-03-01,27
2006-04-01,0
2006-05-01,0
2006-06-01,0
2006-07-01,0
2006-08-01,25
2006-09-01,25
2006-10-01,23
2006-11-01,0
2006-12-01,23
2007-01-01,41
2007-02-01,0
2007-03-01,0
2007-04-01,0
2007-05-01,0
2007-06-01,19
2007-07-01,18
2007-08-01,17
2007-09-01,0
2007-10-01,31
2007-11-01,15
2007-12-01,16
2008-01-01,14
2008-02-01,15
2008-03-01,14
2008-04-01,14
2008-05-01,0
2008-06-01,15
2008-07-01,43
2008-08-01,14
2008-09-01,13
2008-10-01,12
2008-11-01,27
2008-12-01,13
2009-01-01,12
2009-02-01,91
2009-03-01,47
2009-04-01,36
2009-05-01,12
2009-06-01,0
2009-07-01,24
2009-08-01,12
2009-09-01,11
2009-10-01,22
2009-11-01,11
2009-12-01,11
2010-01-01,0
2010-02-01,0
2010-03-01,10
2010-04-01,20
2010-05-01,0
2010-06-01,0
2010-07-01,9
2010-08-01,9
2010-09-01,17
2010-10-01,8
2010-11-01,16
2010-12-01,25
2011-01-01,19
2011-02-01,21
2011-03-01,6
2011-04-01,19
2011-05-01,25
2011-06-01,26
2011-07-01,13
2011-08-01,12
2011-09-01,18
2011-10-01,11
2011-11-01,11
2011-12-01,11
2012-01-01,21
2012-02-01,10
2012-03-01,10
2012-04-01,5
2012-05-01,5
2012-06-01,5
2012-07-01,15
2012-08-01,19
2012-09-01,19
2012-10-01,5
2012-11-01,9
2012-12-01,4
2013-01-01,0
2013-02-01,0
2013-03-01,12
2013-04-01,8
2013-05-01,17
2013-06-01,13
2013-07-01,4
2013-08-01,8
2013-09-01,8
2013-10-01,0
2013-11-01,0
2013-12-01,12
2014-01-01,15
2014-02-01,13
2014-03-01,4
2014-04-01,8
2014-05-01,4
2014-06-01,5
2014-07-01,5
2014-08-01,9
2014-09-01,22
2014-10-01,12
2014-11-01,4
2014-12-01,100
2015-01-01,50
2015-02-01,9
2015-03-01,17
2015-04-01,9
2015-05-01,27
2015-06-01,32
2015-07-01,9
2015-08-01,22
2015-09-01,9
2015-10-01,8
2015-11-01,13
2015-12-01,21
2016-01-01,20
2016-02-01,7
2016-03-01,13
2016-04-01,10
2016-05-01,14
2016-06-01,22
2016-07-01,15
2016-08-01,22
2016-09-01,17
2016-10-01,17
2016-11-01,17
2016-12-01,16
2017-01-01,6
2017-02-01,10
2017-03-01,15
2017-04-01,9
2017-05-01,22
2017-06-01,14
2017-07-01,10
2017-08-01,0
2017-09-01,28
2017-10-01,3
2017-11-01,9
2017-12-01,9
2018-01-01,18
2018-02-01,3
2018-03-01,30
2018-04-01,9
2018-05-01,39
2018-06-01,10
2018-07-01,22
2018-08-01,43
2018-09-01,19
2018-10-01,15
2018-11-01,6
2018-12-01,25
2019-01-01,29
2019-02-01,16
2019-03-01,18
2019-04-01,6
2019-05-01,12
2019-06-01,9
2019-07-01,6
2019-08-01,15
2019-09-01,9
2019-10-01,8
2019-11-01,17
2019-12-01,8
2020-01-01,16
2020-02-01,3
2020-03-01,27
2020-04-01,12
2020-05-01,24
2020-06-01,23
2020-07-01,13
2020-08-01,3
2020-09-01,8
2020-10-01,6
2020-11-01,0
2020-12-01,26
2021-01-01,3
2021-02-01,22
2021-03-01,14
2021-04-01,26
2021-05-01,47
2021-06-01,30
2021-07-01,27
2021-08-01,24
2021-09-01,13
2021-10-01,18
2021-11-01,3
2021-12-01,19
2022-01-01,9
2022-02-01,27
